,label,text
198,True,3.3 the portfolio may not includ financi instrument issu by compani that have been exclud from the govern pension fund – global’ invest univers subject to a decis by the norwegian ministri of financ pursuant to section 8 of the regul on the manag of the govern pension fund – global.
199,True,"3.4 invest in an asset class that is not includ in the portfolio’ benchmark portfolio is not permitted. asset class are those defin in the ministri regul on the manag of the govern pension fund – global, includ derivatives, which are natur relat to asset class includ in the portfolios’ benchmark portfolio, may be utilized. money market invest are permitted."
200,False,4. invest restrict
201,True,4.1 the follow limit appli to the maximum deviat between the actual portfolio and the benchmark portfolio:  asset class 2.5 percentag point  geograph region 5 percentag point  sector deviat in the equiti portfolio 5 percentag point  govern bond (treasuries) no restrict  other sector in the fix incom portfolio 10 percentag point
202,True,4.2 the overlap between actual portfolio and benchmark portfolio must be at least 60% for the equiti portfolio and 30% for issuer in the fix incom portfolio.
203,True,4.3 the actual portfolio must not over time utilis more than 75% of the risk limit set by the portfolio’ owner under normal market conditions. these risk limit are current as follows:
205,True,govern pension fund – global
206,True,1.50 percentag point
207,True,4.4 the issu of call option on individu secur that are not held in the actual portfolio is not permitted. issu of put and call option (measur as notion value) is limit to 2.5% of the portfolios’ value.
208,True,4.5 leverag the portfolio is not permit beyond what is necessari to minimis transact cost or is a natur part of normal invest management. leverag of the portfolio in excess of 15% of their market valu must be report to the execut board.
209,True,4.6 borrow may not exceed 5% of the market valu of the portfolio. sale of secur that the portfolio doe not own (short selling) may take place onli in case where nbim ha access to an establish borrow arrangement.
210,True,"4.7 lend of secur is permitted, provid that nbim ensur that adequ secur is provid for the loan. loan of secur shall not exceed 35% of the market valu of each individu portfolio."
212,True,"4.8 it is not permit to buy fix incom instrument with lower qualiti than invest grade for more than 1% of the market valu of the fix incom part of the portfolio, and not more than 0.05 % of the market valu of the fix incom part of the portfolio pr. singl name."
213,True,4.9 norg bank must alway retain at least one vote share in each compani includ in the portfolio to ensur that ownership right can be exercised.
214,False,5. counterparti restrict
215,True,"5.1 counterparti for unsecur deposit shall have a long-term credit rate of at least aa-/aa3/aa- from at least one of the follow three agencies: fitch, moody’ or standard & poor’ and none of the rate shall be lower than a-/a3/a-. counterparti for trade in unlist deriv shall have a long-term credit rate not lower than a-/a3/a- from ani of the three agencies. the ceo may make exempt from thi minimum requir in regard to a central counterparty. the execut board shall be inform of such exemptions."
216,True,5.2 counterparti minimum rate requir shall be establish for instrument that entail counterparti credit risk.
217,True,"5.3 all secur financ transact and trade in otc deriv shall be subject to adequ collater criteria. net agreement such as isda, gmra and mra shall be in place befor trade take place."
218,True,"5.4 potenti futur counterparti exposur shall not exceed 0,75 % of the fund’ total market valu for ani singl counterparty."
219,False,6. deleg
222,False,7. report etc
225,False,8. entri into forc
230,False,invest mandat - govern pension fund global
231,False,"issu by norg bank’ execut board to the chief execut offic of norg bank invest management, last amend 18 decemb 2019"
232,False,"the invest mandat incorpor applic invest provis from the manag mandat for the govern pension fund global, issu by the ministri of finance. these provis are quot below and mark in ital and highlight in grey in thi document. in the case of inconsist between the invest mandat and the manag mandat the latter will prevail."
233,False,1. manag assign
234,False,1.1 gener provis
235,False,the bank shall make invest decis and exercis ownership right independ of the ministry.
236,False,"the bank shall seek to achiev the highest possibl return after cost measur in the invest portfolio’ currenc basket, see ministri mandat section 3-2 first paragraph, and within the applic manag framework."
237,False,nbim ceo is through thi invest mandat (“the invest mandate”) grant the respons for manag of the govern pension fund global (the fund” or the “invest portfolio”).
238,False,the fund shall be manag subject to the constraint set out below and in accord with the execut board’ principl for risk manag and respons invest laid down for the manag of the fund and in accord with the strategi plan.
239,False,1.2 invest advic
240,False,"the execut board shall advic the ministri on the invest strategi for the invest portfolio. advic shall be provid upon request from the ministry, but can also be provid on the initi of the bank."
241,False,nbim ceo is respons for provid well-found and document advic on invest strategi and other aspect of the invest manag of the fund to norg bank
242,False,"execut board, includ but not limit to matter concern strateg asset allocation, benchmark indices, invest limit and invest risk."
243,False,advic can be provid on the initi of nbim ceo or on request from the execut board.
245,True,"the fund is to be invest in equities, fix incom instruments, non-list real estat and non-list infrastructur for renew energy."
246,False,"nbim ceo is deleg the respons for manag of the fund' overal exposur toward differ asset classes, segment and countries. nbim ceo shall manag the overal currenc exposur of the fund."
247,False,nbim ceo shall provid fund to non-list real estat invest accord to set guidelines.
248,False,the ministri of financ ha set the benchmark index for the fund. the strateg and actual benchmark indic applic to thi mandat are describ in appendix 1.
249,False,1.4 deleg of invest mandat
250,False,respons for invest manag may be deleg subject to applic restrict and in accord with the strategi plan.
251,False,"formal invest mandat are to be issu for all intern and extern manag portfolios. these mandat must, as a minimum, contain a specif of the invest univers and risk limits. the overal mandat structur shall ensur the diversif of the fund."
252,False,invest activ shall at all time compli with relev law and regul in the market where the fund is invest invests.
254,True,"the bank may use extern manag and outsourc oper functions, cf section 5 of regul no. 1630 of 17 decemb 2009 on risk manag and intern control in norg bank. the fee structur in agreement with extern manag shall be design to reflect the object for the manag of the invest portfolio, take into account the time horizon of the invest strategi the bank use in the execut of it manag assign . the individu manag agreement on performance-bas fee shall be structur so that a major proport of the posit excess return is retained, includ provis for cap on fees. (see chapter 3, manag restrict set by the execut board.)"
256,False,2. respons invest manag
257,False,2.1 respons invest manag
258,False,"the bank shall integr it respons manag effort into the manag of the gpfg, cf. chapter 4. a good long-term return is consid depend on sustain develop in economic, environment and social terms, as well as well-functioning, legitim and effici markets."
259,False,"the execut board shall establish principl for the respons manag of the invest portfolio. in design the principl pursuant to the first paragraph, the bank shall emphasis the long-term horizon for the manag of the invest portfolio and that the invest portfolio shall be broadli diversified. the principl shall be base on the consider of good corpor govern and environment and social condit in the invest management, in accord with intern recognis principl and standard such as the un global compact, the oecd’ principl of corpor govern and the oecd’ guidelin for multin enterprises. in it manag of the unlist real estat portfolio, the bank shall, within the environment field, consider, among other matters, energi efficiency, water consumpt and wast management."
260,False,"the execut board shall make decis on the observ or exclus of companies, and on the revoc of such decisions, in accord with the guidelin for observ and exclus from the gpfg. the bank shall inform the ministri about decis on exclus of compani and the revoc of such decisions, cf section 2-1, third paragraph."
261,False,2.2 environment-rel invest
262,False,"the bank shall establish mandat for environment-rel invest . the market valu of the environment-rel invest shall normal be in the rang of nok 30-120 billion. the environment-rel invest mandat shall be direct toward environment- friendli asset or technology, includ renew energy, energi efficiency, carbon captur and storage, water techonolog and environment-rel servic such as wast and pollut manag etc."
263,False,3. manag of the invest portfolio
264,False,3.1 invest univers
265,True,"1. the bank may invest the invest portfolio in financi instruments, real estate, infrastructur for renew energi and cash deposit that are approv in accord with section 3-10, but with the follow restrictions:"
267,True,a) the equiti portfolio may be invest in equiti list on a regul and recognis
273,True,"market place, list secur that are equival to list equities, depositori receipt for such equities, and unlist compani where the board ha express an intent to seek a list on a regul and recogn market place; the bond portfolio may be invest in tradabl bond and other tradabl debt instruments, and depositori receipt for such bonds; the unlist real estat portfolio may be invest in real estat or in equiti and interest-bear instrument issu by non-list companies, fund structur and other legal entiti whose primari busi is the acquisition, develop and manag or financ of real estate. these invest may be made through norwegian or other legal entities. real estat mean right to land and ani build thereon. the unlist infrastructur portfolio for renew energi may be invest in physic infrastructur instal for renew energy, equiti and interest bear instrument issu by non-list companies, fund structur and other legal entiti whose primari busi is the acquisition, develop and manag or financ of infrastructur for renew energy. renew energi infrastructur mean land, real estat and physic asset on land or at sea that are primarili use for or plan to be use for production, transmission, distribut and storag of energi base on renew energi sourc financi deriv and fund unit onli when natur link to invest in the equity, bond and unlist real estat portfolios; other financi instrument onli when pass to the invest portfolio as a result of corpor actions."
274,True,2. the bank may not invest the invest portfolio in:
275,True,"a) secur issu by norwegian enterprises, secur denomin in norwegian"
276,True,"kroner, real estat locat in norway or real estat companies, infrastructur companies, real estat funds, infrastructur fund or similar structur where the primari purpos is to invest in norway. the same appli to cover bond secur against asset in norway. norwegian enterpris mean enterpris whose head offic is in norway. b) secur exclud from the invest portfolio, cf. section 1-3 fourth paragraph and guidelin on observ and exclus from the gpfg. c) fix incom instrument issu by govern or government-link entiti in the except case where the ministri ha bar such invest base on particularli large-scal un sanction or other intern initi of a particularli larg scale that are aim at a specif countri and where norway support the initiatives. d) unlist compani and fund structur in a countri with which norway doe not have a tax treati or in a countri from which norway cannot request inform relat to tax matter in accord with other intern agreements."
278,True,"e) unlist infrastructur such as roads, railways, harbours, airport and other basic"
279,True,"infrastructur that doe not fall under the definit of infrastructur for renew energy, cf. section 2-1 first paragraph, letter d . f) equities, secur that are equival to equiti or depositori receipt for such equities, issu by compani with icb-classif “60101010 oil: crude producers”."
280,True,"3) equiti etc. in compani in the invest portfolio that are re-classifi to icb- classif “60101010 oil: crude producers”, cf. section 2-1 second paragraph letter f, remain a part of the invest univers for 12 month after the re-classification."
282,True,"1. the equiti portfolio, cf. section 2-1, first paragraph letter a, shall constitut between 60 and 80 per cent of the invest portfolio."
283,True,"2. the bond portfolio, cf. section 2-1, first paragraph, letter b, shall constitut between 20 and 40 per cent of the invest portfolio."
284,True,"3. the unlist real estat portfolio, cf. section2-1, first paragraph, letter c, may constitut up to 7 per cent of the invest portfolio."
285,True,"4. the unlist infrastructur portfolio for renew energy, cf. section 2-1 first paragraph, letter d, may constitut up to 2 per cent of the invest portfolio. invest in unlist infrastructur for renew energi shall be undertaken as part of the environment-rel invest mandates, cf. section 4-4."
286,True,"5. net market valu shall be use to calcul the respect share in the first to third paragraphs. in such calculations, deriv shall be depict with the underli econom exposure."
287,True,"6. the bank shall organis the manag with the aim that the expect annualis standard deviat for the rel return between the invest portfolio and the actual benchmark index (expect track error) doe not exceed 1.25 per cent, cf. section 3-3, second paragraph."
288,True,7. the equiti and bond portfolio shall be compos in such a way that the expect rel return is expos to sever systemat risk factors.
289,False,8. the bank shall seek to take account of differ in fiscal strength between countri in the composit of govern bond investments.
290,True,9. the bank shall organis the manag with the aim that high-yield bond (credit rate lower than invest grade) do not exceed 5 per cent of the market valu of the bond portfolio.
291,True,10. a credit rate is requir for invest in debt instruments. all intern credit rate assess shall be documented.
293,True,11. debt instrument issu by govern of and compani incorpor in countri classifi as emerg market may constitut up to 5 per cent of the market valu of the bond portfolio. countri of incorpor and classif of market shall be accord to section 2-2 eleventh paragraph.
294,True,12. the equiti portfolio may not be invest in more than 10 per cent of the vote share in an individu company. ownership in list and unlist real estat compani and unlist infrastructur compani for renew energi is exempt from thi rule.
295,True,"13. leverag may be use with a view to perform the manag assign in an effect manner, but not with a view to increas the invest portfolio’ exposur to riski asset in the equiti and bond portfolios. leverag may also be use in fund structur and by other legal entiti with the aim of perform the manag assign in an effect manner, but such leverag may not be with a view to increas the invest portfolio’ exposur to riski assets."
296,True,14. reinvest of cash collater shall not take place with a view to increas the invest portfolio’ financi exposur to riski assets.
297,True,15. short sell is onli permit if the bank ha access to the secur through an establish borrow arrangement.
300,False,3.3.1 invest portfolio
303,True,the overlap between actual portfolio and actual benchmark index must be at least 60 per cent for the equiti portfolio and at least 60 per cent for issuer in the bond portfolio.
305,True,nbim ceo shall organ the manag with the aim that the maximum hold of a singl issuer non-invest grade govern bond doe not exceed 2 per cent and that the maximum hold of other singl issuer non-invest grade bond doe not exceed 0.5 per cent of the net asset valu of the bond portfolio.
306,True,nbim ceo shall organ the manag with the aim that high yield bond (credit rate lower than “invest grade”) do not exceed 5 per cent of the market valu of the bond portfolio.
308,True,"a minimum of 7.5 per cent of the net asset valu of the invest portfolio shall be held in treasuri bond issu by the govern of france, germany, japan, the unit kingdom and the unit state of america."
311,True,potenti futur counterparti exposur shall not exceed 0.75 per cent of the net asset valu of the invest portfolio for ani singl counterparty.
313,True,"counterpart to unsecur deposit shall have a minimum long-term rate of minimum “a” or the equivalent. counterpart to collateralis instrument or contract shall have a minimum long-term rate of at least “bbb” or the equivalent. counterpart to collateralis instrument or contract not meet the minimum rate requir may be approv by the ceo for exposur up to 1 per cent of the net asset valu of the invest portfolio, and not exceed 0.2 per cent of the net asset valu of the invest portfolio for ani singl counterparty."
316,True,counterpart for pre-initi public offer (pre-ipo) and central clear counterparti shall not be subject to the minimum rate requir abov but requir a separ risk assess and ceo approval.
318,True,all secur financ transact and trade in otc deriv shall be subject to adequ collater criteria reflect the credit qualiti of the counterparty. net agreement shall be in place befor trade take place.
320,True,"leverag the equiti and bond portfolio is not permit beyond what is necessari to minimis transact cost or is a normal part of invest management, and not in excess of 5 per cent of the net asset valu of the combin equiti and bond portfolios."
323,True,cash collater receiv can onli be invest in cash equival instruments.
325,True,the borrow of secur may not exceed 5 per cent of the net asset valu of the invest portfolio.
327,True,nbim shall organis the manag with the aim that the annualis expect shortfal measur at 97.5% confid level for the rel return between the invest portfolio and the benchmark index doe not exceed 3.75 per cent.
328,False,the methodolog for calcul of the expect shortfal shall be approv by the execut board.
329,False,"in situat with extrem market volatil which may provok a breach of the limit, nbim ceo shall without undu delay recommend measur to be decid upon by the execut board."
331,True,"lend of secur is permitted, provid that nbim ensur that adequ secur is provid for the loan, reflect the credit qualiti of the counterparty. secur lent, includ oblig to lend, shall not exceed 20 per cent of the net asset valu of the invest portfolio."
333,True,gross exposur of contract for differ (cfd) shall not exceed 5 per cent of the net asset valu of the invest portfolio.
335,True,"k. when lend secur from the invest portfolio, one vote share in each compani shall, as a minimum, alway be retain to ensur that ownership right can be exercised."
337,True,the issu of call option on individu secur that are not held in the fund is not permitted. issu of put and call option (measur as notion value) is limit to 2.5 per cent of the net asset valu of the invest portfolio.
338,True,m. a maximum of 1.5 per cent of the net asset valu of the invest portfolio may be invest in a singl company’ equity.
339,True,n. the fund may onli invest in govern bond from issuer approv by the execut board and as list in appendix 2. chang to the list of approv issuer is subject to approv by the execut board accord to the execut board’ framework for the approv of issuer of govern bonds. nbim ceo shall inform the execut board without undu delay and recommend measur to be taken in situat where issuer no longer fulfil the requir in the framework.
341,True,ownership in a singl list real estat compani shall not exceed 30 per cent.
343,False,non-list real estat portfolio
348,True,the non-list real estat portfolio shall be diversifi in accord with the follow region allocation:
349,False,1. 2. 3. 4. 5. 6.
350,True,unit state of america: 30-70 per cent unit kingdom:10-40 per cent germany: 0-20 per cent france: 0-30 per cent japan:0-20 per cent other individu countries: 0-10 per cent
353,True,the non-list real estat portfolio shall be diversifi in accord with the follow sector allocation:
354,False,i. ii. iii. iv.
355,True,office: 40-80 per cent retail: 0-40 per cent logistics: 0-30 per cent other: 0-10 per cent
357,True,invest in emerg market shall not exceed 10 per cent.
359,True,invest in properti under develop shall not exceed 10 per cent of the net asset valu of the invest in the non-list part of the real estat portfolio.
361,True,the debt ratio of the non-list real estat portfolio shall not exceed 35 per cent. no singl invest shall have a debt ratio of more than 70 per cent.
364,True,counterpart use for real estat daili cash manag can be approv with a minimum rate requir of bbb. counterpart relat to the acquisit of non- list real estat need separ approval. guidelin should be in place to ensur that a document credit and oper risk assess ha been performed.
